model isParallel numVertices gridsize tpTime orientTime contourTime
sphere1k false 1000 10 70.000000 6.000000 31.000000
sphere1k false 1000 20 73.000000 6.000000 68.000000
sphere1k false 1000 50 82.000000 6.000000 408.000000
sphere1k false 1000 100 73.000000 6.000000 1483.000000
sphere10k false 10000 10 636.000000 97.000000 137.000000
sphere10k false 10000 20 647.000000 95.000000 330.000000
sphere10k false 10000 50 638.000000 97.000000 781.000000
sphere10k false 10000 100 635.000000 100.000000 1865.000000
sphere100k false 100000 10 1638.000000 532.000000 711.000000
sphere100k false 100000 20 1626.000000 546.000000 2699.000000
sphere100k false 100000 50 1627.000000 545.000000 17192.000000
sphere100k false 100000 100 1632.000000 550.000000 76665.000000
sphere1m false 1000000 10 24731.000000 7268.000000 11097.000000
sphere1m false 1000000 20 24892.000000 6190.000000 37590.000000
sphere1m false 1000000 50 24638.000000 6166.000000 220339.000000
sphere1m false 1000000 100 24705.000000 6132.000000 876611.000000
